"last_name","frequency"
"Aamodt","205"
"Acton","189"
"Adachi","221"
"Aingworth","172"
"Akaboshi","199"
"Akazan","207"
"Akiyama","170"
"Alameldin","195"
"Albarhamtoshy","201"
"Alblas","193"
"Alencar","170"
"Aloia","208"
"Aloisi","164"
"Alpay","183"
"Alpin","204"
"Alvarado","175"
"Ambroszkiewicz","173"
"Anandan","190"
"Ananiadou","160"
"Andreotta","165"
"Androutsos","171"
"Angel","181"
"Angelopoulos","207"
"Angelov","174"
"Anger","190"
"Angiulli","177"
"Angot","178"
"Anguita","161"
"Anick","191"
"Anido","177"
